index,name,platform,publisher,developer,cscore,uscore,date,genre
10225,ATV Quad Kings,DS,StormCityGames,BeyondReality,4.7,tbd,2010,Driving
10226,CSI: Crime Scene Investigation: Fatal Conspiracy,PC,Ubisoft,TelltaleGames,4.7,4.6,2010,Adventure
10227,Prison Break: The Conspiracy,PC,DeepSilver,ZootFly,4.7,5.9,2010,Adventure
10228,Flip's Twisted World,Wii,MajescoGames,"MajescoGames,Majesco,FrozenNorthProductions",4.7,tbd,2010,Action
10229,Spectral Force Genesis,DS,IgnitionEntertainment,"Neverland,IdeaFactory",4.6,7.0,2010,Role-Playing
10230,GTI Club Supermini Festa!,Wii,Konami,Konami,4.6,tbd,2010,Driving
10231,Arcade Sports,Wii,IconGames,IconGames,4.6,tbd,2010,Sports
10232,RayStorm HD,Xbox360,TaitoCorporation,TaitoCorporation,4.6,7.3,2010,Action
10233,All Star Karate,Wii,THQ,THQ,4.6,tbd,2010,Sports
10234,Samurai Shodown Sen,Xbox360,XSEEDGames,K2LLC,4.6,5.1,2010,Action
10235,Pure Futbol,PlayStation3,Ubisoft,UbisoftVancouver,4.6,7.5,2010,Sports
10236,Yogi Bear,DS,D3Publisher,1stPlayableProductions,4.6,4.4,2010,Action
10237,Tom Clancy's Ghost Recon,Wii,Ubisoft,NextLevelGames,4.6,6.0,2010,Action
10238,Yu-Gi-Oh! 5D's Decade Duels,Xbox360,Konami,Konami,4.6,7.6,2010,Strategy
10239,Starpoint Gemini,PC,LittleGreenMen,LittleGreenMen,4.6,8.3,2010,Simulation
10240,Ben 10 Alien Force: The Rise of Hex,Xbox360,Konami,BlackLanternStudios,4.6,4.5,2010,Miscellaneous
10241,Saw II: Flesh & Blood,PlayStation3,Konami,ZombieStudios,4.5,6.1,2010,Action Adventure
10242,Tournament of Legends,Wii,SegaEurope,HighVoltageSoftware,4.5,6.9,2010,Action
10243,Sniper: Ghost Warrior,Xbox360,CityInteractive,CityInteractive,4.5,5.8,2010,Action
10244,Rock of the Dead,PlayStation3,ConspiracyEntertainment,EpicenterStudios,4.5,tbd,2010,Action
10245,N3II: Ninety-Nine Nights,Xbox360,Konami,"Phantagram,FeelPlus",4.5,6.8,2010,Action
10246,Racquet Sports,PlayStation3,Ubisoft,AsoboStudio,4.5,4.3,2010,Sports
10247,Mimana Iyar Chronicle,PlayStationPortable,AksysGames,GungHo,4.5,5.8,2010,Role-Playing
10248,AquaSpace,Wii,Nintendo,PaonCorporation,4.5,8.5,2010,Miscellaneous
10249,The Scourge Project: Episodes 1 and 2,PC,BITBOXS.L.,TragnarionStudios,4.4,4.4,2010,Action
10250,Last Rebellion,PlayStation3,NISAmerica,HitMaker,4.4,4.7,2010,Role-Playing
10251,I'm not Alone,PC,TGC,"TGC,ProfenixStudio",4.4,3.2,2010,Action Adventure
10252,Rhythm Zone,PC,SonicBoom,SonicBoom,4.4,5.7,2010,Action
10253,Megamind: Ultimate Showdown,PlayStation3,THQ,"THQAustralia,THQStudioAustralia",4.3,4.1,2010,Action
10254,Quantum Theory,PlayStation3,Tecmo,Tecmo,4.3,5.0,2010,Action
10255,Naughty Bear,PlayStation3,505Games,ArtificialMindandMovement,4.3,5.8,2010,Action
10256,Fast Draw Showdown,Wii,DigitalLeisureInc.,"DigitalLeisureInc.,DigitalLeisure",4.3,tbd,2010,Action
10257,Naughty Bear,Xbox360,505Games,ArtificialMindandMovement,4.3,5.6,2010,Action
10258,Star Wars: The Force Unleashed II,DS,LucasArts,LucasArts,4.3,4.0,2010,Action
10259,Clash of the Titans,Xbox360,NamcoBandaiGames,GameRepublic,4.2,4.0,2010,Action Adventure
10260,Zumba Fitness: Join the Party,Xbox360,MajescoGames,"PipeworksSoftware,Inc.",4.2,5.5,2010,Sports
10261,CSI: Crime Scene Investigation: Fatal Conspiracy,Xbox360,Ubisoft,TelltaleGames,4.2,4.8,2010,Adventure
10262,Prison Break: The Conspiracy,PlayStation3,DeepSilver,ZootFly,4.2,3.7,2010,Adventure
10263,Iron Man 2,Wii,Sega,HighVoltageSoftware,4.1,4.4,2010,Action
10264,Deca Sports 3,Wii,HudsonEntertainment,"Hudson,NATSUMEATARIInc.",4.1,tbd,2010,Sports
10265,Iron Man 2,Xbox360,Sega,SegaStudiosSanFrancisco,4.1,5.8,2010,Action
10266,Things on Wheels,Xbox360,FocusHomeInteractive,LoadInc.,4.1,6.0,2010,Driving
10267,Transformers: Cybertron Adventures,Wii,Activision,NextLevelGames,4.1,6.5,2010,Action
10268,"Harry Potter and the Deathly Hallows, Part 1",Wii,ElectronicArts,ElectronicArts,4.1,5.0,2010,Action
10269,Duke Nukem: Manhattan Project,Xbox360,MicrosoftGameStudios,3DRealms,4.1,7.0,2010,Action
10270,Clash of the Titans,PlayStation3,NamcoBandaiGames,GameRepublic,4.1,1.8,2010,Action Adventure
10271,Iron Man 2,PlayStation3,Sega,SegaStudiosSanFrancisco,4.1,5.4,2010,Action
10272,Haunted House,Wii,Atari,"Atari,ImaginEngine,AtariSA",4.1,tbd,2010,Action
10273,Naval Assault: The Killing Tide,Xbox360,505Games,ArtechStudios,4.0,4.5,2010,Simulation
10274,Pub Darts,Wii,BigBlueBubbleInc.,BigBlueBubbleInc.,4.0,tbd,2010,Sports
10275,Blood Drive,Xbox360,Activision,SidheInteractive,4.0,6.3,2010,Simulation
